emitter,receiver,amount
0xA94F72C7,0xF31A7721,42.18
0xBC21D8FA,0x9EE8930D,5.77
0xE77C1A92,0xB44388A7,91.05
0xC1D827F1,0xD98B902A,0.52
0xF2A1837C,0xAB23C5FF,13.34
0x9B392F1E,0xC72D01B8,72.25
0xA21EE94B,0xF4F3C122,89.66
0xE9BC67F3,0x84217BD9,10.76
0xB1F677AA,0xE63E5D91,3.44
0xC4728A1F,0x9C10FD22,76.98
0xA27BD991,0xE5D12A9E,2.93
0xF7D198CD,0xC173028A,57.66
0x94A27F02,0xD51F8B77,6.89
0xD61E5C89,0xAB71F42C,12.60
0xC4D71290,0xF3CD9814,44.12
0xB10F7642,0xA4F1D07E,9.40
0xA43D2202,0x9BE1763B,3.91
0xF0291AA8,0xE472CC90,27.08
0xD4F7C112,0xB21F9817,8.17
0xBC728611,0xE12D55AA,33.50
0xA3C1D873,0xC0F7AB42,59.88
0xE992D7BB,0xD39A1EDE,23.04
0x9D73300E,0xF47D27CE,1.95
0xC88818D0,0xB733EE91,70.45
0xB2E092D7,0xA4F1EE08,89.31
0xD9155C81,0xF62A1B72,14.60
0xA8F22002,0xC71AAEE4,25.87
0xC1B76244,0xEE72C99A,18.29
0xB77A0099,0xD37BD145,2.64
0xA27D1983,0xC73218F2,97.14
0xD812C18F,0xB71A720C,45.42
0xC90F8223,0xF91D00A0,63.07
0xB66E02D1,0xE12D9A53,5.55
0xA211D871,0xC18B4F22,9.44
0xF7C18371,0xD71A9EE9,10.65
0xE2D7A110,0xB57C02A4,19.70
0xA92F11A3,0xC1819F34,21.88
0xBC2210D9,0xE17AA1DD,64.77
0xD1712AEE,0xF18C9332,48.66
0xE8173CFF,0xAB91E700,32.44
0xC6F2A001,0xD62A7799,6.72
0xB9410D99,0xEE22C110,81.03
0xA0211FF8,0xC17F3364,2.11
0xC77122AA,0xF1CDA100,72.97
0xB8903DD2,0xD4A19277,31.40
0xF122D98A,0xAB37F21E,7.77
0xD6601C20,0xB221EC19,6.01
0xE733826A,0xC991A770,44.29
0xA9138EF7,0xF4711222,24.79
0xB6729114,0xD7C2EE31,65.71
0xC1220BD8,0xE9130AA5,14.50
0xA97D8100,0xC377EA21,10.01
0xF7812A84,0xD1112822,29.55
0xB8D210EC,0xA611F289,36.44
